,TP,FN,FP,Recall,Precision,F1 Score
Ascaris lumbricoides,150.0,57.0,58.0,0.7246376811594203,0.7211538461538461,0.7228915662650603
Capillaria philippinensis,174.0,29.0,42.0,0.8571428571428571,0.8055555555555556,0.8305489260143198
Enterobius vermicularis,187.0,13.0,67.0,0.935,0.7362204724409449,0.8237885462555066
Fasciolopsis buski,191.0,8.0,114.0,0.9597989949748744,0.6262295081967213,0.757936507936508
Hookworm,196.0,7.0,103.0,0.9655172413793104,0.6555183946488294,0.7808764940239044
Hymenolepis diminuta,200.0,0.0,288.0,1.0,0.4098360655737705,0.5813953488372093
Hymenolepis nana,120.0,83.0,27.0,0.5911330049261084,0.8163265306122449,0.6857142857142857
Opisthorchis viverrine,178.0,22.0,31.0,0.89,0.8516746411483254,0.8704156479217604
Paragonimus spp,202.0,7.0,146.0,0.9665071770334929,0.5804597701149425,0.7253141831238779
Taenia spp,200.0,2.0,83.0,0.9900990099009901,0.7067137809187279,0.8247422680412371
Trichuris trichiura,183.0,17.0,42.0,0.915,0.8133333333333334,0.8611764705882353
Overall,1981.0,245.0,1001.0,0.889937106918239,0.6643192488262911,0.760752688172043
