TP,FN,FP,Recall,Precision,F1 Score
142.0,65.0,7.0,0.6859903381642513,0.9530201342281879,0.398876404494382
169.0,34.0,13.0,0.8325123152709359,0.9285714285714286,0.438961038961039
186.0,14.0,7.0,0.93,0.9637305699481865,0.4732824427480916
186.0,13.0,15.0,0.9346733668341709,0.9253731343283582,0.465
194.0,9.0,34.0,0.9556650246305419,0.8508771929824561,0.4501160092807424
196.0,4.0,122.0,0.98,0.6163522012578616,0.3783783783783784
116.0,87.0,16.0,0.5714285714285714,0.8787878787878788,0.34626865671641793
171.0,29.0,16.0,0.855,0.9144385026737968,0.4418604651162791
196.0,13.0,52.0,0.937799043062201,0.7903225806451613,0.42888402625820565
197.0,5.0,10.0,0.9752475247524752,0.9516908212560387,0.48166259168704156
174.0,26.0,0.0,0.87,1.0,0.4652406417112299
1927.0,299.0,292.0,0.8656783468104223,0.868409193330329,0.4335208098987626
